+--------------------------------------------------------------------------------------------------+--------+-----------------+
|                                         Nombre artículo                                          |  $$$   |     Almacen     |
|                                Zapallito orgánico aprox. x 250 g                                 |   9    |     Devoto      |
|                                Zapallito orgánico aprox. x 250 g                                 |   9    |      Disco      |
|                                  Zapallo Cabutia Envasado (Kg)                                   |  68    | Tienda Inglesa  |
|            Zapallo Calabacin LOMA VERDE en Rodajas (Kg) peso aproximado de Bolsa 800g            |  122   | Tienda Inglesa  |
|                                        Zapallo Calabacín                                         |  49    | Tienda Inglesa  |
|                            Zapallo Calabacín Cortado a la Mitad (Kg)                             |  78    | Tienda Inglesa  |
|                         Zapallo Calabcín en Cubos EATZEN Real Food 400g                          |  116   | Tienda Inglesa  |
|                                     Zapallo Kabutia 1.00 Kg                                      |  55    |      Tata       |
|                                  Zapallo Kabutia apro x 1,5 kg                                   |  75    |     Devoto      |
|                                  Zapallo Kabutia apro x 1,5 kg                                   |  75    |      Disco      |
|                                          Zucchini (Kg)                                           |  72    | Tienda Inglesa  |
|                       Zucchini PUNTO VERDE Orgánico (Kg) peso aprox. 900g                        |  78    | Tienda Inglesa  |
|                                      Zuchini aprox. x 400 g                                      |  24    |     Devoto      |
|                                      Zuchini aprox. x 400 g                                      |  24    |      Disco      |
|                                 Zuchini orgánico aprox. x 800 g                                  |  48    |     Devoto      |
+--------------------------------------------------------------------------------------------------+--------+-----------------+
